Time, loss, accuracy, validation_loss, validation_accuracy
205, 1.5892, 0.4132, 1.1835, 0.5782
207, 1.2437, 0.5529, 1.0209, 0.6405
207, 1.1058, 0.6059, 0.8869, 0.6880
207, 1.0305, 0.6344, 0.8804, 0.6793
210, 0.9740, 0.6574, 0.7823, 0.7256
210, 0.9334, 0.6727, 0.7939, 0.7224
211, 0.9063, 0.6818, 0.7717, 0.7319
211, 0.8822, 0.6911, 0.7283, 0.7510
210, 0.8683, 0.6985, 0.7335, 0.7475
212, 0.8418, 0.7049, 0.7882, 0.7199
215, 0.8260, 0.7115, 0.7163, 0.7528
211, 0.8192, 0.7149, 0.6774, 0.7682
213, 0.8110, 0.7183, 0.6339, 0.7815
214, 0.7941, 0.7229, 0.6583, 0.7765
215, 0.7955, 0.7250, 0.6881, 0.7635
215, 0.7800, 0.7304, 0.6185, 0.7919
215, 0.7817, 0.7296, 0.6441, 0.7767
212, 0.7752, 0.7306, 0.6435, 0.7774
212, 0.7674, 0.7329, 0.6014, 0.7933
213, 0.7547, 0.7378, 0.6575, 0.7740
212, 0.7545, 0.7378, 0.6207, 0.7888
209, 0.7470, 0.7435, 0.5907, 0.7989
209, 0.7442, 0.7425, 0.6320, 0.7851
207, 0.7399, 0.7439, 0.6139, 0.7870
207, 0.7344, 0.7462, 0.6249, 0.7815
214, 0.7332, 0.7448, 0.6237, 0.7847
231, 0.7327, 0.7472, 0.5993, 0.7920
233, 0.7228, 0.7503, 0.5632, 0.8098
213, 0.7203, 0.7504, 0.5854, 0.8004
205, 0.7213, 0.7495, 0.6000, 0.7980
206, 0.7163, 0.7514, 0.5838, 0.8010
206, 0.7116, 0.7529, 0.6131, 0.7908
208, 0.7095, 0.7541, 0.5860, 0.8026
212, 0.7139, 0.7537, 0.5900, 0.7930
213, 0.7039, 0.7562, 0.5768, 0.8041
211, 0.6936, 0.7604, 0.5799, 0.8051
209, 0.7001, 0.7580, 0.6071, 0.7919
211, 0.7020, 0.7593, 0.6039, 0.7922
210, 0.6947, 0.7613, 0.5941, 0.7984
210, 0.6970, 0.7615, 0.5593, 0.8071
212, 0.6935, 0.7590, 0.5708, 0.8059
210, 0.6972, 0.7585, 0.5832, 0.8044
209, 0.6925, 0.7631, 0.5780, 0.8028
207, 0.6839, 0.7654, 0.5469, 0.8163
206, 0.6900, 0.7611, 0.5945, 0.7956
209, 0.6830, 0.7655, 0.6024, 0.7988
205, 0.6813, 0.7666, 0.5782, 0.8034
205, 0.6884, 0.7648, 0.5821, 0.8032
207, 0.6897, 0.7605, 0.5625, 0.8097
212, 0.6885, 0.7631, 0.5606, 0.8095
212, 0.6832, 0.7661, 0.5486, 0.8147
210, 0.6778, 0.7662, 0.5529, 0.8145
208, 0.6772, 0.7673, 0.5513, 0.8178
207, 0.6797, 0.7661, 0.5533, 0.8123
207, 0.6835, 0.7642, 0.5508, 0.8151
209, 0.6815, 0.7675, 0.5714, 0.8057
210, 0.6775, 0.7672, 0.5685, 0.8048
209, 0.6773, 0.7686, 0.5756, 0.8026
209, 0.6781, 0.7663, 0.5869, 0.8077
210, 0.6720, 0.7709, 0.5494, 0.8157
211, 0.6647, 0.7716, 0.6064, 0.7950
211, 0.6741, 0.7686, 0.5864, 0.8010
211, 0.6737, 0.7714, 0.5495, 0.8162
210, 0.6636, 0.7740, 0.5372, 0.8202
210, 0.6776, 0.7689, 0.5431, 0.8164
208, 0.6692, 0.7706, 0.5760, 0.8032
207, 0.6738, 0.7693, 0.6611, 0.7716
207, 0.6643, 0.7713, 0.5471, 0.8173
207, 0.6641, 0.7724, 0.5878, 0.7998
208, 0.6668, 0.7725, 0.5406, 0.8194
207, 0.6662, 0.7722, 0.5839, 0.8018
206, 0.6655, 0.7704, 0.5294, 0.8232
207, 0.6611, 0.7724, 0.5558, 0.8134
206, 0.6646, 0.7735, 0.5718, 0.8076
204, 0.6670, 0.7738, 0.5582, 0.8112
205, 0.6671, 0.7725, 0.5338, 0.8219
205, 0.6626, 0.7732, 0.5596, 0.8129
205, 0.6571, 0.7743, 0.5668, 0.8096
206, 0.6561, 0.7747, 0.5820, 0.8093
208, 0.6549, 0.7750, 0.5488, 0.8170
208, 0.6597, 0.7731, 0.5744, 0.8096
206, 0.6535, 0.7760, 0.5588, 0.8114
208, 0.6609, 0.7752, 0.5641, 0.8116
207, 0.6569, 0.7733, 0.5225, 0.8268
207, 0.6575, 0.7753, 0.5383, 0.8201
206, 0.6505, 0.7765, 0.5643, 0.8144
232, 0.6483, 0.7759, 0.5793, 0.8084
234, 0.6544, 0.7775, 0.5278, 0.8200
225, 0.6597, 0.7752, 0.5805, 0.8014
207, 0.6485, 0.7784, 0.5467, 0.8181
206, 0.6551, 0.7767, 0.6052, 0.7968
205, 0.6530, 0.7788, 0.5558, 0.8156
206, 0.6511, 0.7784, 0.5153, 0.8262
206, 0.6528, 0.7787, 0.5445, 0.8174
205, 0.6585, 0.7748, 0.5141, 0.8275
205, 0.6568, 0.7761, 0.5221, 0.8222
205, 0.6523, 0.7764, 0.5732, 0.8054
210, 0.6536, 0.7776, 0.5102, 0.8289
208, 0.6631, 0.7733, 0.5478, 0.8199
207, 0.6517, 0.7786, 0.5441, 0.8194
206, 0.6509, 0.7758, 0.5453, 0.8198
206, 0.6479, 0.7772, 0.5534, 0.8146
204, 0.6505, 0.7780, 0.5367, 0.8204
225, 0.6513, 0.7783, 0.5392, 0.8214
229, 0.6548, 0.7739, 0.5664, 0.8118
227, 0.6489, 0.7809, 0.5832, 0.8059
205, 0.6450, 0.7805, 0.5575, 0.8147
205, 0.6504, 0.7795, 0.5330, 0.8190
205, 0.6554, 0.7782, 0.5575, 0.8128
206, 0.6514, 0.7776, 0.5381, 0.8203
205, 0.6488, 0.7797, 0.5294, 0.8235
204, 0.6440, 0.7811, 0.6046, 0.7976
205, 0.6470, 0.7775, 0.5339, 0.8233
207, 0.6473, 0.7797, 0.5584, 0.8081
204, 0.6474, 0.7793, 0.5329, 0.8222
204, 0.6486, 0.7814, 0.5676, 0.8119
205, 0.6553, 0.7763, 0.5519, 0.8150
205, 0.6488, 0.7797, 0.5444, 0.8215
208, 0.6502, 0.7799, 0.5648, 0.8103
217, 0.6457, 0.7803, 0.5495, 0.8173
232, 0.6443, 0.7821, 0.5154, 0.8278
229, 0.6443, 0.7797, 0.5309, 0.8254
210, 0.6541, 0.7764, 0.5268, 0.8250
206, 0.6392, 0.7828, 0.5220, 0.8301
206, 0.6477, 0.7783, 0.5187, 0.8281
205, 0.6455, 0.7792, 0.5384, 0.8162
205, 0.6470, 0.7790, 0.5360, 0.8196
206, 0.6376, 0.7815, 0.5186, 0.8260
205, 0.6507, 0.7793, 0.5859, 0.8029
207, 0.6495, 0.7784, 0.5478, 0.8140
210, 0.6503, 0.7799, 0.5551, 0.8074
203, 0.6436, 0.7794, 0.5182, 0.8225
212, 0.6427, 0.7827, 0.5525, 0.8126
258, 0.6483, 0.7778, 0.5146, 0.8321
308, 0.6388, 0.7841, 0.5586, 0.8154
249, 0.6354, 0.7840, 0.5304, 0.8227
229, 0.6336, 0.7853, 0.5157, 0.8248
242, 0.6402, 0.7810, 0.5122, 0.8248
264, 0.6391, 0.7847, 0.5272, 0.8278
256, 0.6467, 0.7829, 0.5250, 0.8224
262, 0.6455, 0.7812, 0.5097, 0.8307
285, 0.6344, 0.7828, 0.5504, 0.8220
283, 0.6413, 0.7812, 0.5213, 0.8261
277, 0.6435, 0.7814, 0.5307, 0.8265
257, 0.6435, 0.7804, 0.5026, 0.8348
266, 0.6351, 0.7819, 0.5298, 0.8242
279, 0.6452, 0.7798, 0.4986, 0.8332
270, 0.6354, 0.7846, 0.5260, 0.8264
210, 0.6401, 0.7804, 0.5350, 0.8177
229, 0.6412, 0.7825, 0.5614, 0.8123
204, 0.6364, 0.7843, 0.5033, 0.8274
205, 0.6376, 0.7833, 0.5164, 0.8296
204, 0.6346, 0.7842, 0.5365, 0.8202
204, 0.6412, 0.7811, 0.5238, 0.8249
206, 0.6412, 0.7823, 0.5465, 0.8162
211, 0.6325, 0.7838, 0.5180, 0.8302
210, 0.6399, 0.7819, 0.5279, 0.8247
209, 0.6304, 0.7846, 0.5365, 0.8215
210, 0.6367, 0.7849, 0.5639, 0.8123
210, 0.6362, 0.7825, 0.5379, 0.8218
209, 0.6410, 0.7835, 0.5573, 0.8193
211, 0.6380, 0.7820, 0.5511, 0.8159
211, 0.6303, 0.7860, 0.5147, 0.8287
212, 0.6462, 0.7819, 0.5293, 0.8236
211, 0.6366, 0.7832, 0.5377, 0.8184
222, 0.6345, 0.7838, 0.5081, 0.8309
235, 0.6329, 0.7862, 0.5498, 0.8141
235, 0.6329, 0.7855, 0.5094, 0.8273
214, 0.6368, 0.7846, 0.5169, 0.8283
209, 0.6403, 0.7826, 0.5508, 0.8204
209, 0.6327, 0.7857, 0.5280, 0.8239
209, 0.6323, 0.7834, 0.5253, 0.8254
246, 0.6379, 0.7843, 0.5015, 0.8304
273, 0.6229, 0.7883, 0.5205, 0.8237
285, 0.6310, 0.7852, 0.5965, 0.8024
265, 0.6407, 0.7833, 0.5037, 0.8288
266, 0.6359, 0.7815, 0.5802, 0.8086
235, 0.6365, 0.7851, 0.5048, 0.8315
232, 0.6291, 0.7874, 0.5443, 0.8167
232, 0.6389, 0.7835, 0.5351, 0.8227
250, 0.6367, 0.7845, 0.5172, 0.8249
243, 0.6327, 0.7845, 0.5357, 0.8216
306, 0.6301, 0.7848, 0.5255, 0.8213
322, 0.6340, 0.7871, 0.5111, 0.8295
304, 0.6282, 0.7867, 0.5378, 0.8198
254, 0.6259, 0.7863, 0.4972, 0.8301
250, 0.6245, 0.7861, 0.5309, 0.8241
274, 0.6282, 0.7878, 0.5269, 0.8304
264, 0.6312, 0.7859, 0.5205, 0.8303
245, 0.6360, 0.7843, 0.5232, 0.8228
243, 0.6363, 0.7852, 0.5249, 0.8250
234, 0.6309, 0.7841, 0.5403, 0.8237
238, 0.6300, 0.7836, 0.4953, 0.8353
233, 0.6290, 0.7868, 0.5108, 0.8283
220, 0.6301, 0.7881, 0.5274, 0.8211
225, 0.6224, 0.7899, 0.5220, 0.8279
238, 0.6343, 0.7862, 0.5041, 0.8335
260, 0.6328, 0.7843, 0.5271, 0.8263
252, 0.6292, 0.7895, 0.5464, 0.8180
245, 0.6300, 0.7867, 0.5536, 0.8125
