Time, loss, accuracy, validation_loss, validation_accuracy
394, 2.1094, 0.2151 ,1.8103 ,0.3496
588, 1.8014, 0.3392 ,1.6147 ,0.4098
586, 1.6688, 0.3866 ,1.4955 ,0.4530
515, 1.5605, 0.4269 ,1.3692 ,0.5017
364, 1.4715, 0.4624 ,1.2656 ,0.5472
257, 1.4027, 0.4923 ,1.2413 ,0.5603
246, 1.3513, 0.5111 ,1.1956 ,0.5780
242, 1.3012, 0.5306 ,1.1333 ,0.5998
235, 1.2584, 0.5500 ,1.1061 ,0.6130
235, 1.2201, 0.5643 ,1.0397 ,0.6313
216, 1.1849, 0.5780 ,1.0705 ,0.6232
210, 1.1443, 0.5908 ,0.9960 ,0.6488
228, 1.1151, 0.6023 ,0.9360 ,0.6681
236, 1.0863, 0.6138 ,0.9481 ,0.6621
248, 1.0560, 0.6242 ,0.8887 ,0.6934
238, 1.0293, 0.6338 ,0.8587 ,0.6993
254, 1.0046, 0.6435 ,0.8851 ,0.6896
245, 0.9806, 0.6497 ,0.8107 ,0.7156
252, 0.9600, 0.6596 ,0.8014 ,0.7187
233, 0.9424, 0.6672 ,0.8081 ,0.7159
237, 0.9202, 0.6727 ,0.8121 ,0.7172
230, 0.9046, 0.6814 ,0.7332 ,0.7466
216, 0.8807, 0.6883 ,0.7200 ,0.7500
227, 0.8704, 0.6939 ,0.7424 ,0.7373
234, 0.8505, 0.7017 ,0.7227 ,0.7470
237, 0.8454, 0.7040 ,0.6891 ,0.7595
254, 0.8279, 0.7082 ,0.6804 ,0.7602
243, 0.8161, 0.7105 ,0.6845 ,0.7632
336, 0.8092, 0.7152 ,0.6660 ,0.7673
251, 0.7955, 0.7218 ,0.6770 ,0.7627
215, 0.7868, 0.7216 ,0.6430 ,0.7787
217, 0.7772, 0.7265 ,0.6323 ,0.7790
222, 0.7651, 0.7310 ,0.6355 ,0.7792
216, 0.7625, 0.7307 ,0.6281 ,0.7841
215, 0.7533, 0.7366 ,0.6141 ,0.7847
223, 0.7480, 0.7365 ,0.6045 ,0.7911
240, 0.7391, 0.7405 ,0.6050 ,0.7919
223, 0.7313, 0.7431 ,0.6041 ,0.7898
219, 0.7176, 0.7484 ,0.5847 ,0.7992
202, 0.7138, 0.7469 ,0.5866 ,0.7985
198, 0.7122, 0.7489 ,0.6020 ,0.7908
200, 0.7039, 0.7542 ,0.5925 ,0.7968
217, 0.6954, 0.7559 ,0.5862 ,0.7953
260, 0.6875, 0.7589 ,0.5912 ,0.7987
260, 0.6833, 0.7591 ,0.5766 ,0.8031
261, 0.6798, 0.7614 ,0.5595 ,0.8055
219, 0.6723, 0.7634 ,0.5534 ,0.8110
213, 0.6690, 0.7656 ,0.5870 ,0.7975
214, 0.6610, 0.7667 ,0.5519 ,0.8132
193, 0.6567, 0.7687 ,0.5603 ,0.8062
194, 0.6519, 0.7690 ,0.5548 ,0.8065
194, 0.6548, 0.7695 ,0.5373 ,0.8134
192, 0.6418, 0.7739 ,0.5956 ,0.7932
195, 0.6376, 0.7761 ,0.5330 ,0.8194
194, 0.6367, 0.7747 ,0.5323 ,0.8172
194, 0.6318, 0.7793 ,0.5170 ,0.8188
192, 0.6275, 0.7808 ,0.5265 ,0.8197
193, 0.6230, 0.7811 ,0.5301 ,0.8189
192, 0.6207, 0.7815 ,0.5293 ,0.8205
193, 0.6140, 0.7831 ,0.5274 ,0.8185
193, 0.6132, 0.7845 ,0.5242 ,0.8156
193, 0.6069, 0.7893 ,0.5038 ,0.8276
193, 0.6025, 0.7893 ,0.5101 ,0.8252
195, 0.6018, 0.7882 ,0.5178 ,0.8226
193, 0.5977, 0.7894 ,0.5490 ,0.8127
194, 0.6018, 0.7888 ,0.5741 ,0.8044
194, 0.5849, 0.7939 ,0.4974 ,0.8287
193, 0.5878, 0.7941 ,0.5007 ,0.8263
192, 0.5819, 0.7964 ,0.4996 ,0.8271
191, 0.5845, 0.7944 ,0.4923 ,0.8271
191, 0.5771, 0.7987 ,0.4932 ,0.8302
190, 0.5775, 0.7978 ,0.4876 ,0.8315
191, 0.5759, 0.7979 ,0.4845 ,0.8323
191, 0.5706, 0.8006 ,0.4917 ,0.8306
191, 0.5610, 0.8013 ,0.4708 ,0.8389
191, 0.5669, 0.8024 ,0.4803 ,0.8351
191, 0.5607, 0.8039 ,0.4691 ,0.8394
192, 0.5523, 0.8066 ,0.4808 ,0.8348
192, 0.5543, 0.8052 ,0.4735 ,0.8368
192, 0.5513, 0.8065 ,0.5124 ,0.8243
192, 0.5511, 0.8061 ,0.4848 ,0.8363
193, 0.5478, 0.8080 ,0.4668 ,0.8389
193, 0.5465, 0.8092 ,0.4778 ,0.8333
193, 0.5444, 0.8083 ,0.4655 ,0.8384
194, 0.5389, 0.8100 ,0.4671 ,0.8422
198, 0.5382, 0.8121 ,0.4677 ,0.8402
191, 0.5395, 0.8105 ,0.4580 ,0.8460
192, 0.5383, 0.8108 ,0.4617 ,0.8398
193, 0.5244, 0.8184 ,0.4738 ,0.8375
195, 0.5295, 0.8160 ,0.4603 ,0.8449
193, 0.5276, 0.8146 ,0.4629 ,0.8401
193, 0.5305, 0.8146 ,0.4453 ,0.8478
192, 0.5230, 0.8164 ,0.4495 ,0.8440
191, 0.5223, 0.8150 ,0.4588 ,0.8454
192, 0.5238, 0.8182 ,0.4473 ,0.8474
191, 0.5119, 0.8209 ,0.4526 ,0.8463
193, 0.5155, 0.8202 ,0.4506 ,0.8487
213, 0.5103, 0.8202 ,0.4501 ,0.8500
213, 0.5118, 0.8205 ,0.4655 ,0.8420
208, 0.5061, 0.8228 ,0.4506 ,0.8452
196, 0.5048, 0.8238 ,0.4588 ,0.8459
196, 0.5037, 0.8232 ,0.4834 ,0.8362
195, 0.5016, 0.8247 ,0.4544 ,0.8443
193, 0.4997, 0.8237 ,0.4429 ,0.8486
193, 0.4997, 0.8218 ,0.4402 ,0.8503
191, 0.4994, 0.8251 ,0.4447 ,0.8514
191, 0.5014, 0.8247 ,0.4343 ,0.8504
191, 0.4937, 0.8284 ,0.4363 ,0.8523
191, 0.4971, 0.8249 ,0.4385 ,0.8514
190, 0.4888, 0.8301 ,0.4322 ,0.8501
191, 0.4905, 0.8275 ,0.4295 ,0.8526
192, 0.4810, 0.8305 ,0.4528 ,0.8461
192, 0.4825, 0.8306 ,0.4348 ,0.8504
193, 0.4827, 0.8304 ,0.4238 ,0.8535
191, 0.4841, 0.8305 ,0.4279 ,0.8528
191, 0.4819, 0.8307 ,0.4257 ,0.8533
192, 0.4787, 0.8316 ,0.4215 ,0.8561
193, 0.4757, 0.8315 ,0.4210 ,0.8562
193, 0.4735, 0.8338 ,0.4341 ,0.8525
190, 0.4735, 0.8358 ,0.4360 ,0.8511
191, 0.4686, 0.8351 ,0.4324 ,0.8519
192, 0.4667, 0.8379 ,0.4141 ,0.8601
192, 0.4675, 0.8362 ,0.4259 ,0.8584
192, 0.4644, 0.8365 ,0.4233 ,0.8569
191, 0.4678, 0.8351 ,0.4244 ,0.8517
191, 0.4632, 0.8368 ,0.4261 ,0.8558
190, 0.4642, 0.8356 ,0.4434 ,0.8486
190, 0.4622, 0.8370 ,0.4234 ,0.8573
189, 0.4556, 0.8396 ,0.4311 ,0.8500
189, 0.4569, 0.8384 ,0.4173 ,0.8578
190, 0.4552, 0.8416 ,0.4299 ,0.8540
191, 0.4569, 0.8372 ,0.4277 ,0.8544
191, 0.4510, 0.8411 ,0.4152 ,0.8606
192, 0.4528, 0.8375 ,0.4062 ,0.8619
193, 0.4526, 0.8404 ,0.4278 ,0.8560
193, 0.4508, 0.8422 ,0.4220 ,0.8563
195, 0.4535, 0.8413 ,0.4116 ,0.8619
204, 0.4475, 0.8421 ,0.4133 ,0.8607
213, 0.4489, 0.8424 ,0.4264 ,0.8574
212, 0.4489, 0.8418 ,0.4376 ,0.8529
200, 0.4445, 0.8442 ,0.4129 ,0.8605
192, 0.4435, 0.8443 ,0.4103 ,0.8604
191, 0.4466, 0.8442 ,0.4062 ,0.8627
192, 0.4379, 0.8458 ,0.4202 ,0.8585
193, 0.4413, 0.8441 ,0.4150 ,0.8570
192, 0.4357, 0.8451 ,0.4208 ,0.8541
