"knn.pred";"cl[ss == 3]"
"1";"['Lists of minor planets by number']";"['Poe (singer) songs', '1998 singles']"
"2";"['1969 films', '1960s drama films', 'French films', 'French drama films', 'French-language films']";"['1969 films', '1960s drama films', 'French films', 'French drama films', 'French-language films']"
"3";"[]";"[]"
"4";"['Lists of minor planets by number']";"['Lists of minor planets by number']"
"5";"['Federal departments of Switzerland', 'Federal Department of Defence, Civil Protection and Sports', 'Military of Switzerland', 'Sport in Switzerland', '1848 establishments in Switzerland']";"['Hong Kong Federation of Students', 'Politics of Hong Kong', \"Students' unions in Hong Kong\", 'Universities in Hong Kong', \"Groups of students' unions\", '1958 establishments in Hong Kong', 'Student organizations established in 1958']"
"6";"['Lists of minor planets by number']";"['School districts in West Virginia', 'Education in Logan County, West Virginia']"
"7";"['French plays', '1636 plays', 'Plays by Pierre Corneille']";"['French plays', '1636 plays', 'Plays by Pierre Corneille']"
"8";"['Villages in Kasaragod district']";"['1948 births', 'Living people', 'Ultramarathon runners', 'American ultramarathon runners', 'American long-distance runners', 'Male long-distance runners', 'People from Sheboygan, Wisconsin', 'Sportspeople from Wisconsin', 'Kohler Company']"
"9";"['Rural Districts of East Azerbaijan Province', 'Meyaneh County']";"['Rural Districts of East Azerbaijan Province', 'Meyaneh County']"
"10";"['Villages in Kasaragod district']";"['1983 births', 'Living people', 'Australian female cyclists', 'Track cyclists', 'Sportswomen from Western Australia', 'Cyclists from Perth, Western Australia']"
"11";"['Populated places in Darab County']";"['Cities in Webster County, Kentucky', 'Cities in Kentucky', 'Evansville metropolitan area']"
"12";"['1842 in New Zealand']";"['1890 births', '1963 deaths', 'Baseball players from Nebraska', 'Sportspeople from Omaha, Nebraska', 'New York Yankees players', 'Major League Baseball first basemen', 'Maysville Rivermen players', 'Galveston Pirates players', 'Galveston Sand Crabs players', 'Lincoln Tigers players', 'Wichita Witches players']"
"13";"['Morenia']";"['Morenia']"
"14";"['Lists of minor planets by number']";"['2006 American television series debuts', '2000s American television series', '2010s American television series', 'American sports television series', 'Automotive television series', 'Speed (TV channel) shows', 'Motorcycle TV shows']"
"15";"[]";"['Pharmaceutical companies of India', 'Companies based in Mumbai', 'Pharmaceutical companies established in 2006']"
"16";"['Villages in Kasaragod district']";"['Macrouridae', 'Endemic marine fish of New Zealand']"
"17";"['Lists of minor planets by number']";"['Communes in Suceava County']"
"18";"['Populated places in La Rioja (Spain)']";"['Neighbourhoods of Seoul', 'Slums in Asia', 'Shanty towns in Asia', '1988 establishments in South Korea']"
"19";"['Lakes of Nova Scotia']";"['Hindu temples in Uttarakhand', 'Champawat', 'Shiva temples in India']"
"20";"['Lists of minor planets by number']";"['Airports in Baja California']"
"21";"['1923 births', '1985 deaths', 'New Zealand cricketers', 'Auckland cricketers', 'Sportspeople from Auckland']";"['Williams pinball machines', '1985 pinball machines']"
"22";"['1957 births', 'American people of Italian descent', 'American people of Sicilian descent', '20th-century American male actors', '21st-century American male actors', 'Male actors from New York City', 'American male film actors', 'American film directors', 'American male screenwriters', 'American male stage actors', 'American male television actors', 'David di Donatello winners', 'Film directors from New York City', 'Italian male film actors', 'Italian film directors', 'Italian screenwriters', 'Italian male stage actors', 'Italian male television actors', 'Living people', 'Male actors of Italian descent', 'Obie Award recipients', 'People from Brooklyn', 'People from Queens, New York', 'People of Apulian descent', 'Primetime Emmy Award winners', 'State University of New York at New Paltz alumni', 'Yale School of Drama alumni']";"['1957 births', 'American people of Italian descent', 'American people of Sicilian descent', '20th-century American male actors', '21st-century American male actors', 'Male actors from New York City', 'American male film actors', 'American film directors', 'American male screenwriters', 'American male stage actors', 'American male television actors', 'David di Donatello winners', 'Film directors from New York City', 'Italian male film actors', 'Italian film directors', 'Italian screenwriters', 'Italian male stage actors', 'Italian male television actors', 'Living people', 'Male actors of Italian descent', 'Obie Award recipients', 'People from Brooklyn', 'People from Queens, New York', 'People of Apulian descent', 'Primetime Emmy Award winners', 'State University of New York at New Paltz alumni', 'Yale School of Drama alumni']"
"23";"['NRHP architects', 'American architects', 'People from Rock County, Minnesota']";"['Horse breeds', 'Horse breeds originating in Germany', 'Animal breeds on the GEH Red List']"
