"predictedY";"cl[ss == 3]"
"6";"[]";"['Poe (singer) songs', '1998 singles']"
"13";"[]";"['1969 films', '1960s drama films', 'French films', 'French drama films', 'French-language films']"
"21";"[]";"[]"
"27";"[]";"['Lists of minor planets by number']"
"31";"[]";"['Hong Kong Federation of Students', 'Politics of Hong Kong', \"Students' unions in Hong Kong\", 'Universities in Hong Kong', \"Groups of students' unions\", '1958 establishments in Hong Kong', 'Student organizations established in 1958']"
"38";"[]";"['School districts in West Virginia', 'Education in Logan County, West Virginia']"
"41";"[]";"['French plays', '1636 plays', 'Plays by Pierre Corneille']"
"43";"[]";"['1948 births', 'Living people', 'Ultramarathon runners', 'American ultramarathon runners', 'American long-distance runners', 'Male long-distance runners', 'People from Sheboygan, Wisconsin', 'Sportspeople from Wisconsin', 'Kohler Company']"
"52";"[]";"['Rural Districts of East Azerbaijan Province', 'Meyaneh County']"
"53";"[]";"['1983 births', 'Living people', 'Australian female cyclists', 'Track cyclists', 'Sportswomen from Western Australia', 'Cyclists from Perth, Western Australia']"
"54";"[]";"['Cities in Webster County, Kentucky', 'Cities in Kentucky', 'Evansville metropolitan area']"
"55";"[]";"['1890 births', '1963 deaths', 'Baseball players from Nebraska', 'Sportspeople from Omaha, Nebraska', 'New York Yankees players', 'Major League Baseball first basemen', 'Maysville Rivermen players', 'Galveston Pirates players', 'Galveston Sand Crabs players', 'Lincoln Tigers players', 'Wichita Witches players']"
"63";"[]";"['Morenia']"
"64";"[]";"['2006 American television series debuts', '2000s American television series', '2010s American television series', 'American sports television series', 'Automotive television series', 'Speed (TV channel) shows', 'Motorcycle TV shows']"
"66";"[]";"['Pharmaceutical companies of India', 'Companies based in Mumbai', 'Pharmaceutical companies established in 2006']"
"72";"[]";"['Macrouridae', 'Endemic marine fish of New Zealand']"
"74";"[]";"['Communes in Suceava County']"
"79";"[]";"['Neighbourhoods of Seoul', 'Slums in Asia', 'Shanty towns in Asia', '1988 establishments in South Korea']"
"84";"[]";"['Hindu temples in Uttarakhand', 'Champawat', 'Shiva temples in India']"
"88";"[]";"['Airports in Baja California']"
"95";"[]";"['Williams pinball machines', '1985 pinball machines']"
"105";"[]";"['1957 births', 'American people of Italian descent', 'American people of Sicilian descent', '20th-century American male actors', '21st-century American male actors', 'Male actors from New York City', 'American male film actors', 'American film directors', 'American male screenwriters', 'American male stage actors', 'American male television actors', 'David di Donatello winners', 'Film directors from New York City', 'Italian male film actors', 'Italian film directors', 'Italian screenwriters', 'Italian male stage actors', 'Italian male television actors', 'Living people', 'Male actors of Italian descent', 'Obie Award recipients', 'People from Brooklyn', 'People from Queens, New York', 'People of Apulian descent', 'Primetime Emmy Award winners', 'State University of New York at New Paltz alumni', 'Yale School of Drama alumni']"
"109";"[]";"['Horse breeds', 'Horse breeds originating in Germany', 'Animal breeds on the GEH Red List']"
"111";"[]";"['1811 births', '1887 deaths', 'Politicians from Copenhagen', 'Prime Ministers of Denmark', 'Danish emigrants to New Zealand', 'Danish Finance Ministers', 'Dannevirke', 'Foreign ministers of Denmark', 'Danish Kultus Ministers', 'Danish Interior Ministers', 'Members of the Folketing', 'New Zealand farmers', '19th-century Danish politicians']"
"114";"[]";"['1979 debut albums', 'Motown albums', 'Mary Wilson (singer) albums']"
"115";"[]";"['Culfests']"
"116";"[]";"['Unmanned aerial vehicles', 'Unmanned aerial vehicles of China', 'Unmanned blimps', 'Unmanned blimps of China']"
"118";"[]";"['Phricanthini']"
"125";"[]";"['1959 births', 'Living people', 'Fitzroy Football Club players', 'Koroit Football Club players', 'Australian rules footballers from Victoria (Australia)']"
"127";"[]";"['Urdu-language films', '2007 films', 'Pakistani action films', 'Pakistani thriller films', 'Pakistani films']"
"129";"[]";"['Iranian writers', 'Persian philosophers', 'Islamic philosophers', 'Islamic studies scholars', '12th-century Iranian people']"
"132";"[]";"['1895 births', '1982 deaths', 'People from Long Branch, New Jersey', 'American drummers', 'Swing drummers', 'American jazz drummers', 'Duke Ellington Orchestra members']"
"133";"[]";"['Cestoda']"
"136";"[]";"['Lists of box office number-one films in the United States', '1980 in film', '1980 in American cinema']"
"139";"[]";"['1949 births', 'American academics', 'Living people', 'American people of Mexican descent', 'Stanford University faculty', 'University of Texas at Austin alumni', 'Yale University alumni', 'American male writers', 'National Humanities Medal recipients']"
"141";"[]";"['1943 in Lebanon', 'Years of the 20th century in Lebanon', '1940s in Lebanon', '1943 by country', '1943 in Asia']"
"146";"[]";"['Board games introduced in 1983', 'Avalon Hill games', 'World War II board wargames']"
"156";"[]";"['Biological evolution', 'French books', 'Philosophy books', 'Jesuit publications', '1955 books', 'Harper & Brothers books']"
"158";"[]";"['Defunct prisons in France', '1748 establishments in France', '1873 disestablishments in France', 'Buildings and structures destroyed during World War II', 'Toulon']"
"161";"[]";"['1861 births', '1915 deaths', 'American businesspeople', 'Knox family', 'People from Buffalo, New York', 'Woolworth family']"
"164";"[]";"['1901 births', '1954 deaths', 'Christian mystics', 'Converts to Roman Catholicism', 'English biographers', \"English children's writers\", 'English journalists', 'English religious writers', 'English Roman Catholics', 'English short story writers', 'Roman Catholic writers', '20th-century English novelists', '20th-century English poets', '20th-century biographers']"
